# ============================================================
# FUSION DES PLANS (8 COLONNES) - 2026-08-24 18:47:06
# Colonnes : N° semaine;Jour;Date;Discipline;Type de séance;Détails;Durée (min);Journée type
# Nombre de fichiers fusionnes : 10
# ============================================================
N° semaine;Jour;Date;Discipline;Type de séance;Détails;Durée (min);Journée type
⚪S-05;Dimanche;2027-10-17;CAP;Footing de récupération Z1;Footing de récupération Z1 (33 min);33;🟦
🟡S-04;Lundi;2027-10-18;CAP;VC;VC 300m x 15 @ 18.8 km/h (effort 01:01 / recup 75.0m x 00:36) - 15min d'intensité;42;🟨
🟡S-04;Mardi;2027-10-19;CAP;Footing de récupération Z1;Footing de récupération Z1 (80 min);80;🟦
🟡S-04;*;2027-10-19;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩
🟡S-04;Mercredi;2027-10-20;Course;Compétition intermédiaire;5km Redon 20/10;0;⭐
🟡S-04;Jeudi;2027-10-21;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (115 min);115;🟩
🟡S-04;Dimanche;2027-10-24;CAP;Footing de récupération Z1;Footing de récupération Z1 (80 min);80;🟦
🟢S-03;Lundi;2027-10-25;CAP;VMA;VMA 300m x 17 @ 21.6 km/h (effort 00:53 / recup 75.0m x 00:26) - 15min d'intensité;37;🟥
🟢S-03;Mardi;2027-10-26;CAP;Footing de récupération Z1;Footing de récupération Z1 (72 min);72;🟦
🟢S-03;*;2027-10-26;Renforcement;Gainage;Gainage (30 min);30;🟩
🟢S-03;Jeudi;2027-10-28;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (103 min);103;🟩
🟢S-03;Dimanche;2027-10-31;CAP;Footing de récupération Z1;Footing de récupération Z1 (72 min);72;🟦
🔵S-02;Lundi;2027-11-01;CAP;Footing de récupération Z1;Footing de récupération Z1 (52 min);52;🟦
🔵S-02;Mardi;2027-11-02;CAP;Footing de récupération Z1;Footing de récupération Z1 (52 min);52;🟦
🔵S-02;Jeudi;2027-11-04;CAP;Footing de récupération Z1;Footing de récupération Z1 (52 min);52;🟦
🔵S-02;Dimanche;2027-11-07;CAP;Footing de récupération Z1;Footing de récupération Z1 (52 min);52;🟦
🔵S-01;Lundi;2027-11-08;CAP;Footing de récupération Z1;Footing de récupération Z1 (52 min);52;🟦
🔵S-01;Mardi;2027-11-09;CAP;Footing de récupération Z1;Footing de récupération Z1 (52 min);52;🟦
🔵S-01;Jeudi;2027-11-11;CAP;Footing de récupération Z1;Footing de récupération Z1 (52 min);52;🟦
🔵S-01;Dimanche;2027-11-14;CAP;Footing de récupération Z1;Footing de récupération Z1 (52 min);52;🟦
🔵S-00;Lundi;2027-11-15;Course;Objectif;15/11/2027;0;⭐

# ============================================================
# FICHIER N°4 : Guia_ROBIN_plan_20260824_184657.csv
# ============================================================
🟢S-16;Mercredi;2026-08-26;CAP;VC;VC 300m x 10 @ 11.7 km/h (effort 01:32 / recup 75.0m x 00:52) - 15min d'intensité;39;🟨
🟢S-16;Vendredi;2026-08-28;CAP;Footing de récupération Z1;Footing de récupération Z1 (102 min);102;🟦
🟢S-16;*;2026-08-28;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩
🟢S-16;Samedi;2026-08-29;CAP;Sortie longue Z2;Sortie longue Z2 (120 min);120;🟩
🟢S-16;Dimanche;2026-08-30;CAP;Footing de récupération Z1;Footing de récupération Z1 (102 min);102;🟦
🟡S-15;Mercredi;2026-09-02;CAP;VMA;VMA 300m x 15 @ 17.7 km/h (effort 01:01 / recup 75.0m x 00:29) - 15min d'intensité;40;🟥
🟡S-15;Vendredi;2026-09-04;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-15;*;2026-09-04;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩
🟡S-15;Samedi;2026-09-05;CAP;Sortie longue Z2;Sortie longue Z2 (120 min);120;🟩
🟡S-15;Dimanche;2026-09-06;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟢S-14;Mercredi;2026-09-09;CAP;VC;VC 500m x 6 @ 11.1 km/h (effort 02:42 / recup 125.0m x 01:28) - 16min d'intensité;40;🟨
🟢S-14;Vendredi;2026-09-11;CAP;Footing de récupération Z1;Footing de récupération Z1 (86 min);86;🟦
🟢S-14;*;2026-09-11;Renforcement;Gainage;Gainage (30 min);30;🟩
🟢S-14;Samedi;2026-09-12;CAP;Sortie longue Z2;Sortie longue Z2 (120 min);120;🟩
🟢S-14;Dimanche;2026-09-13;CAP;Footing de récupération Z1;Footing de récupération Z1 (86 min);86;🟦
⚪S-13;Mercredi;2026-09-16;CAP;Footing de récupération Z1;Footing de récupération Z1 (58 min);58;🟦
⚪S-13;*;2026-09-16;Renforcement;Gainage;Gainage (30 min);30;🟩
⚪S-13;Vendredi;2026-09-18;CAP;Footing de récupération Z1;Footing de récupération Z1 (58 min);58;🟦
⚪S-13;Samedi;2026-09-19;CAP;Sortie longue Z2;Sortie longue Z2 (120 min);120;🟩
⚪S-13;Dimanche;2026-09-20;CAP;Footing de récupération Z1;Footing de récupération Z1 (58 min);58;🟦
🟡S-12;Mercredi;2026-09-23;CAP;VC;VC 700m x 4 @ 10.7 km/h (effort 03:55 / recup 175.0m x 02:03) - 15min d'intensité;41;🟨
🟡S-12;Vendredi;2026-09-25;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-12;*;2026-09-25;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩
🟡S-12;Samedi;2026-09-26;CAP;Sortie longue Z2;Sortie longue Z2 (120 min);120;🟩
🟡S-12;Dimanche;2026-09-27;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟢S-11;Mercredi;2026-09-30;CAP;VMA;VMA 700m x 7 @ 16.9 km/h (effort 02:28 / recup 175.0m x 01:09) - 17min d'intensité;40;🟥
🟢S-11;Vendredi;2026-10-02;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟢S-11;*;2026-10-02;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩
🟢S-11;Samedi;2026-10-03;CAP;Sortie longue Z2;Sortie longue Z2 (120 min);120;🟩
🟢S-11;Dimanche;2026-10-04;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-10;Mercredi;2026-10-07;CAP;VC;VC 1000m x 3 @ 10.1 km/h (effort 05:56 / recup 250.0m x 02:56) - 17min d'intensité;45;🟨
🟡S-10;Vendredi;2026-10-09;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-10;*;2026-10-09;Renforcement;Gainage;Gainage (30 min);30;🟩
🟡S-10;Samedi;2026-10-10;CAP;Sortie longue Z2;Sortie longue Z2 (120 min);120;🟩
🟡S-10;Dimanche;2026-10-11;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
⚪S-09;Mercredi;2026-10-14;CAP;Footing de récupération Z1;Footing de récupération Z1 (86 min);86;🟦
⚪S-09;*;2026-10-14;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩
⚪S-09;Vendredi;2026-10-16;CAP;Footing de récupération Z1;Footing de récupération Z1 (86 min);86;🟦
⚪S-09;Samedi;2026-10-17;CAP;Sortie longue Z2;Sortie longue Z2 (120 min);120;🟩
⚪S-09;Dimanche;2026-10-18;CAP;Footing de récupération Z1;Footing de récupération Z1 (86 min);86;🟦
🟡S-08;Mercredi;2026-10-21;CAP;VC;VC 2000m x 2 @ 9.7 km/h (effort 12:22 / recup 500.0m x 05:52) - 24min d'intensité;56;🟨
🟡S-08;Vendredi;2026-10-23;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-08;*;2026-10-23;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩
🟡S-08;Samedi;2026-10-24;CAP;Sortie longue Z2;Sortie longue Z2 (120 min);120;🟩
🟡S-08;Dimanche;2026-10-25;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟢S-07;Mercredi;2026-10-28;CAP;VMA;VMA 2000m x 3 @ 15.8 km/h (effort 07:34 / recup 500.0m x 03:17) - 22min d'intensité;47;🟥
🟢S-07;Vendredi;2026-10-30;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟢S-07;*;2026-10-30;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩
🟢S-07;Samedi;2026-10-31;CAP;Sortie longue Z2;Sortie longue Z2 (120 min);120;🟩
🟢S-07;Dimanche;2026-11-01;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-06;Mercredi;2026-11-04;CAP;VC;VC 2800m x 1 @ 9.5 km/h (effort 17:41 / recup 700.0m x 08:14) - 17min d'intensité;44;🟨
🟡S-06;Vendredi;2026-11-06;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-06;*;2026-11-06;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩
🟡S-06;Samedi;2026-11-07;CAP;Sortie longue Z2;Sortie longue Z2 (120 min);120;🟩
🟡S-06;Dimanche;2026-11-08;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
⚪S-05;Mercredi;2026-11-11;CAP;Footing de récupération Z1;Footing de récupération Z1 (70 min);70;🟦
⚪S-05;*;2026-11-11;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩
⚪S-05;Vendredi;2026-11-13;CAP;Footing de récupération Z1;Footing de récupération Z1 (70 min);70;🟦
⚪S-05;Samedi;2026-11-14;CAP;Sortie longue Z2;Sortie longue Z2 (120 min);120;🟩
⚪S-05;Dimanche;2026-11-15;CAP;Footing de récupération Z1;Footing de récupération Z1 (70 min);70;🟦
🟡S-04;Mercredi;2026-11-18;CAP;VC;VC 300m x 10 @ 11.7 km/h (effort 01:32 / recup 75.0m x 00:52) - 15min d'intensité;42;🟨
🟡S-04;Vendredi;2026-11-20;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-04;*;2026-11-20;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩
🟡S-04;Samedi;2026-11-21;CAP;Sortie longue Z2;Sortie longue Z2 (120 min);120;🟩
🟡S-04;Dimanche;2026-11-22;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟢S-03;Mercredi;2026-11-25;CAP;VMA;VMA 300m x 15 @ 17.7 km/h (effort 01:01 / recup 75.0m x 00:29) - 15min d'intensité;37;🟥
🟢S-03;Vendredi;2026-11-27;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟢S-03;*;2026-11-27;Renforcement;Gainage;Gainage (30 min);30;🟩
🟢S-03;Samedi;2026-11-28;CAP;Sortie longue Z2;Sortie longue Z2 (120 min);120;🟩
🟢S-03;Dimanche;2026-11-29;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🔵S-02;Mercredi;2026-12-02;CAP;Footing de récupération Z1;Footing de récupération Z1 (52 min);52;🟦
🔵S-02;Vendredi;2026-12-04;CAP;Footing de récupération Z1;Footing de récupération Z1 (52 min);52;🟦
🔵S-02;Samedi;2026-12-05;CAP;Footing de récupération Z1;Footing de récupération Z1 (52 min);52;🟦
🔵S-02;Dimanche;2026-12-06;CAP;Footing de récupération Z1;Footing de récupération Z1 (52 min);52;🟦
🔵S-01;Mercredi;2026-12-09;CAP;Footing de récupération Z1;Footing de récupération Z1 (52 min);52;🟦
🔵S-01;Vendredi;2026-12-11;CAP;Footing de récupération Z1;Footing de récupération Z1 (52 min);52;🟦
🔵S-01;Samedi;2026-12-12;CAP;Footing de récupération Z1;Footing de récupération Z1 (52 min);52;🟦
🔵S-01;Dimanche;2026-12-13;CAP;Footing de récupération Z1;Footing de récupération Z1 (52 min);52;🟦
🔵S-00;Mardi;2026-12-15;Course;Objectif;15/12/2026;0;⭐

# ============================================================
# FICHIER N°5 : Isabelle_MERCIER_plan_20260824_184657.csv
# ============================================================
🟢S-16;Mardi;2026-08-25;CAP;Footing de récupération Z1;Footing de récupération Z1 (51 min);51;🟦
🟢S-16;*;2026-08-25;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩
🟢S-16;Mercredi;2026-08-26;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩
🟢S-16;Jeudi;2026-08-27;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (72 min);72;🟩
🟢S-16;*;2026-08-27;Vélo;Endurance Z2;Endurance Z2 (80 min);80;🟩
🟡S-15;Mardi;2026-09-01;CAP;Footing de récupération Z1;Footing de récupération Z1 (78 min);78;🟦
🟡S-15;*;2026-09-01;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩
🟡S-15;Mercredi;2026-09-02;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩
🟡S-15;Jeudi;2026-09-03;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (112 min);112;🟩
🟡S-15;*;2026-09-03;Vélo;Endurance Z2;Endurance Z2 (112 min);112;🟩
🟢S-14;Mardi;2026-09-08;CAP;VC;VC 500m x 5 @ 9.9 km/h (effort 03:02 / recup 125.0m x 01:38) - 15min d'intensité;38;🟨
🟢S-14;Mercredi;2026-09-09;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩
🟢S-14;*;2026-09-09;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩
🟢S-14;Jeudi;2026-09-10;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (61 min);61;🟩
🟢S-14;*;2026-09-10;Vélo;Endurance Z2;Endurance Z2 (80 min);80;🟩
⚪S-13;Mardi;2026-09-15;Course;Compétition intermédiaire;Triathlon Annecy 15/09;0;⭐
⚪S-13;Mercredi;2026-09-16;Natation;Endurance Z2;Endurance Z2 (85 min);85;🟩
⚪S-13;*;2026-09-16;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩
⚪S-13;Jeudi;2026-09-17;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (41 min);41;🟩
⚪S-13;*;2026-09-17;Vélo;Endurance Z2;Endurance Z2 (80 min);80;🟩
🔴S-12;Mardi;2026-09-22;CAP;Footing de récupération Z1;Footing de récupération Z1 (91 min);91;🟦
🔴S-12;*;2026-09-22;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩
🔴S-12;Mercredi;2026-09-23;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩
🔴S-12;Jeudi;2026-09-24;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🔴S-12;*;2026-09-24;Vélo;Endurance Z2;Endurance Z2 (130 min);130;🟩
🟡S-11;Mardi;2026-09-29;CAP;VMA;VMA 700m x 5 @ 13.0 km/h (effort 03:13 / recup 175.0m x 01:30) - 16min d'intensité;41;🟥
🟡S-11;Mercredi;2026-09-30;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩
🟡S-11;*;2026-09-30;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩
🟡S-11;Jeudi;2026-10-01;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-11;*;2026-10-01;Vélo;Endurance Z2;Endurance Z2 (180 min);180;🟩
🔴S-10;Mardi;2026-10-06;CAP;Footing de récupération Z1;Footing de récupération Z1 (85 min);85;🟦
🔴S-10;*;2026-10-06;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩
🔴S-10;Mercredi;2026-10-07;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩
🔴S-10;Jeudi;2026-10-08;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🔴S-10;*;2026-10-08;Vélo;Endurance Z2;Endurance Z2 (122 min);122;🟩
⚪S-09;Mardi;2026-10-13;CAP;Footing de récupération Z1;Footing de récupération Z1 (42 min);42;🟦
⚪S-09;*;2026-10-13;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩
⚪S-09;Mercredi;2026-10-14;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩
⚪S-09;Jeudi;2026-10-15;Course;Compétition intermédiaire;Sprint Lyon 15/10;0;⭐
🟡S-08;Mardi;2026-10-20;CAP;VC;VC 2000m x 2 @ 8.7 km/h (effort 13:52 / recup 500.0m x 06:35) - 27min d'intensité;60;🟨
🟡S-08;Mercredi;2026-10-21;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩
🟡S-08;*;2026-10-21;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩
🟡S-08;Jeudi;2026-10-22;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-08;*;2026-10-22;Vélo;Endurance Z2;Endurance Z2 (129 min);129;🟩
🟢S-07;Mardi;2026-10-27;CAP;Footing de récupération Z1;Footing de récupération Z1 (78 min);78;🟦
🟢S-07;*;2026-10-27;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩
🟢S-07;Mercredi;2026-10-28;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩
🟢S-07;Jeudi;2026-10-29;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (112 min);112;🟩
🟢S-07;*;2026-10-29;Vélo;Endurance Z2;Endurance Z2 (112 min);112;🟩
🟡S-06;Mardi;2026-11-03;CAP;Footing de récupération Z1;Footing de récupération Z1 (79 min);79;🟦
🟡S-06;*;2026-11-03;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩
🟡S-06;Mercredi;2026-11-04;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩
🟡S-06;Jeudi;2026-11-05;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (114 min);114;🟩
🟡S-06;*;2026-11-05;Vélo;Endurance Z2;Endurance Z2 (114 min);114;🟩
⚪S-05;Mardi;2026-11-10;CAP;VMA;VMA 100m x 36 @ 14.3 km/h (effort 00:25 / recup 25.0m x 00:12) - 15min d'intensité;22;🟥
⚪S-05;Mercredi;2026-11-11;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩
⚪S-05;*;2026-11-11;Renforcement;Gainage;Gainage (30 min);30;🟩
⚪S-05;Jeudi;2026-11-12;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (50 min);50;🟩
⚪S-05;*;2026-11-12;Vélo;Endurance Z2;Endurance Z2 (80 min);80;🟩
🔴S-04;Mardi;2026-11-17;CAP;Footing de récupération Z1;Footing de récupération Z1 (97 min);97;🟦
🔴S-04;*;2026-11-17;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩
🔴S-04;Mercredi;2026-11-18;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩
🔴S-04;Jeudi;2026-11-19;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🔴S-04;*;2026-11-19;Vélo;Endurance Z2;Endurance Z2 (140 min);140;🟩
🟡S-03;Mardi;2026-11-24;CAP;Footing de récupération Z1;Footing de récupération Z1 (96 min);96;🟦
🟡S-03;*;2026-11-24;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩
🟡S-03;Mercredi;2026-11-25;Natation;Endurance Z2;Endurance Z2 (90 min);90;🟩
🟡S-03;Jeudi;2026-11-26;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🟡S-03;*;2026-11-26;Vélo;Endurance Z2;Endurance Z2 (137 min);137;🟩
🔵S-02;Mardi;2026-12-01;CAP;Footing de récupération Z1;Footing de récupération Z1 (26 min);26;🟦
🔵S-02;Mercredi;2026-12-02;Natation;Récupération active;Récupération active (60 min);60;🟦
🔵S-02;Jeudi;2026-12-03;CAP;Footing de récupération Z1;Footing de récupération Z1 (26 min);26;🟦
🔵S-02;*;2026-12-03;Vélo;Récupération active;Récupération active (52 min);52;🟦
🔵S-01;Mardi;2026-12-08;CAP;Footing de récupération Z1;Footing de récupération Z1 (26 min);26;🟦
🔵S-01;Mercredi;2026-12-09;Natation;Récupération active;Récupération active (60 min);60;🟦
🔵S-01;Jeudi;2026-12-10;CAP;Footing de récupération Z1;Footing de récupération Z1 (26 min);26;🟦
🔵S-01;*;2026-12-10;Vélo;Récupération active;Récupération active (52 min);52;🟦
🔵S-00;Mardi;2026-12-15;Course;Objectif;15/12/2026;0;⭐

# ============================================================
# FICHIER N°6 : Lucas_LEFER_plan_20260824_184657.csv
# ============================================================
🟢S-29;Lundi;2026-08-24;CAP;VC;VC 300m x 8 @ 9.1 km/h (effort 01:58 / recup 75.0m x 01:10) - 15min d'intensité;40;🟨
🟢S-29;Mercredi;2026-08-26;CAP;Footing de récupération Z1;Footing de récupération Z1 (76 min);76;🟦
🟢S-29;*;2026-08-26;Vélo;Seuil Z4;Seuil Z4 (80 min);80;🟨
🟢S-29;Jeudi;2026-08-27;Natation;Récupération active;Récupération active (72 min);72;🟦
🟢S-29;*;2026-08-27;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩
🟢S-29;Vendredi;2026-08-28;CAP;Footing de récupération Z1;Footing de récupération Z1 (76 min);76;🟦
🟡S-28;Lundi;2026-08-31;CAP;VC;VC 400m x 6 @ 8.8 km/h (effort 02:44 / recup 100.0m x 01:33) - 16min d'intensité;44;🟨
🟡S-28;Mercredi;2026-09-02;CAP;Footing de récupération Z1;Footing de récupération Z1 (118 min);118;🟦
🟡S-28;*;2026-09-02;Vélo;Seuil Z4;Seuil Z4 (123 min);123;🟨
🟡S-28;Jeudi;2026-09-03;Natation;Récupération active;Récupération active (72 min);72;🟦
🟡S-28;*;2026-09-03;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩
🟡S-28;Vendredi;2026-09-04;CAP;Footing de récupération Z1;Footing de récupération Z1 (118 min);118;🟦
🟢S-27;Lundi;2026-09-07;CAP;VC;VC 500m x 5 @ 8.7 km/h (effort 03:28 / recup 125.0m x 01:56) - 17min d'intensité;42;🟨
🟢S-27;Mercredi;2026-09-09;CAP;Footing de récupération Z1;Footing de récupération Z1 (65 min);65;🟦
🟢S-27;*;2026-09-09;Vélo;Seuil Z4;Seuil Z4 (80 min);80;🟨
🟢S-27;Jeudi;2026-09-10;Natation;Récupération active;Récupération active (72 min);72;🟦
🟢S-27;*;2026-09-10;Renforcement;Renforcement général;Renforcement général (30 min);30;🟩
🟢S-27;Vendredi;2026-09-11;CAP;Footing de récupération Z1;Footing de récupération Z1 (65 min);65;🟦
⚪S-26;Lundi;2026-09-14;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (61 min);61;🟩
⚪S-26;*;2026-09-14;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩
⚪S-26;Mercredi;2026-09-16;CAP;Footing de récupération Z1;Footing de récupération Z1 (43 min);43;🟦
⚪S-26;*;2026-09-16;Vélo;Seuil Z4;Seuil Z4 (80 min);80;🟨
⚪S-26;Jeudi;2026-09-17;Natation;Récupération active;Récupération active (68 min);68;🟦
⚪S-26;Vendredi;2026-09-18;CAP;Footing de récupération Z1;Footing de récupération Z1 (43 min);43;🟦
🟡S-25;Lundi;2026-09-21;CAP;VC;VC 700m x 3 @ 8.4 km/h (effort 05:03 / recup 175.0m x 02:43) - 15min d'intensité;41;🟨
🟡S-25;Mercredi;2026-09-23;CAP;Footing de récupération Z1;Footing de récupération Z1 (77 min);77;🟦
🟡S-25;*;2026-09-23;Vélo;Seuil Z4;Seuil Z4 (88 min);88;🟨
🟡S-25;Jeudi;2026-09-24;Natation;Récupération active;Récupération active (72 min);72;🟦
🟡S-25;*;2026-09-24;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩
🟡S-25;Vendredi;2026-09-25;CAP;Footing de récupération Z1;Footing de récupération Z1 (77 min);77;🟦
🟢S-24;Lundi;2026-09-28;CAP;VC;VC 800m x 3 @ 8.2 km/h (effort 05:56 / recup 200.0m x 03:07) - 17min d'intensité;42;🟨
🟢S-24;Mercredi;2026-09-30;CAP;Footing de récupération Z1;Footing de récupération Z1 (100 min);100;🟦
🟢S-24;*;2026-09-30;Vélo;Seuil Z4;Seuil Z4 (94 min);94;🟨
🟢S-24;Jeudi;2026-10-01;Natation;Récupération active;Récupération active (72 min);72;🟦
🟢S-24;*;2026-10-01;Renforcement;Gainage;Gainage (30 min);30;🟩
🟢S-24;Vendredi;2026-10-02;CAP;Footing de récupération Z1;Footing de récupération Z1 (100 min);100;🟦
🟡S-23;Lundi;2026-10-05;CAP;VC;VC 1000m x 2 @ 8.0 km/h (effort 07:38 / recup 250.0m x 03:53) - 15min d'intensité;41;🟨
🟡S-23;Mercredi;2026-10-07;CAP;Footing de récupération Z1;Footing de récupération Z1 (72 min);72;🟦
🟡S-23;*;2026-10-07;Vélo;Seuil Z4;Seuil Z4 (88 min);88;🟨
🟡S-23;Jeudi;2026-10-08;Natation;Récupération active;Récupération active (72 min);72;🟦
🟡S-23;*;2026-10-08;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩
🟡S-23;Vendredi;2026-10-09;CAP;Footing de récupération Z1;Footing de récupération Z1 (72 min);72;🟦
⚪S-22;Lundi;2026-10-12;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (92 min);92;🟩
⚪S-22;*;2026-10-12;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩
⚪S-22;Mercredi;2026-10-14;CAP;Footing de récupération Z1;Footing de récupération Z1 (65 min);65;🟦
⚪S-22;*;2026-10-14;Vélo;Seuil Z4;Seuil Z4 (80 min);80;🟨
⚪S-22;Jeudi;2026-10-15;Natation;Récupération active;Récupération active (72 min);72;🟦
⚪S-22;Vendredi;2026-10-16;CAP;Footing de récupération Z1;Footing de récupération Z1 (65 min);65;🟦
🟡S-21;Lundi;2026-10-19;CAP;VC;VC 2000m x 1 @ 7.7 km/h (effort 15:54 / recup 500.0m x 07:47) - 15min d'intensité;41;🟨
🟡S-21;Mercredi;2026-10-21;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-21;*;2026-10-21;Vélo;Seuil Z4;Seuil Z4 (141 min);141;🟨
🟡S-21;Jeudi;2026-10-22;Natation;Récupération active;Récupération active (72 min);72;🟦
🟡S-21;*;2026-10-22;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩
🟡S-21;Vendredi;2026-10-23;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟢S-20;Lundi;2026-10-26;CAP;VC;VC 2400m x 1 @ 7.7 km/h (effort 19:16 / recup 600.0m x 09:21) - 19min d'intensité;43;🟨
🟢S-20;Mercredi;2026-10-28;CAP;Footing de récupération Z1;Footing de récupération Z1 (118 min);118;🟦
🟢S-20;*;2026-10-28;Vélo;Seuil Z4;Seuil Z4 (112 min);112;🟨
🟢S-20;Jeudi;2026-10-29;Natation;Récupération active;Récupération active (72 min);72;🟦
🟢S-20;*;2026-10-29;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩
🟢S-20;Vendredi;2026-10-30;CAP;Footing de récupération Z1;Footing de récupération Z1 (118 min);118;🟦
🟡S-19;Lundi;2026-11-02;CAP;VC;VC 2800m x 1 @ 7.6 km/h (effort 22:43 / recup 700.0m x 10:54) - 22min d'intensité;52;🟨
🟡S-19;Mercredi;2026-11-04;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
🟡S-19;*;2026-11-04;Vélo;Seuil Z4;Seuil Z4 (150 min);150;🟨
🟡S-19;Jeudi;2026-11-05;Natation;Récupération active;Récupération active (72 min);72;🟦
🟡S-19;*;2026-11-05;Renforcement;Renforcement excentrique;Renforcement excentrique (30 min);30;🟩
🟡S-19;Vendredi;2026-11-06;CAP;Footing de récupération Z1;Footing de récupération Z1 (120 min);120;🟦
